瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭惑措嚼档(%),岿钦碍荐樊(00~24h父)(mm),SPI-3
90,加檬,Jan-96,-0.4,51,23.5,-1.657
90,加檬,Feb-96,0.1,54,114.2,0.297
90,加檬,Mar-96,4,65,75.1,0.925
90,加檬,Apr-96,11.2,49,64.9,0.657
90,加檬,May-96,14.2,74,20.2,-0.418
90,加檬,Jun-96,18,81,356.5,1.489
90,加檬,Jul-96,22,82,189.4,0.886
90,加檬,Aug-96,23,88,200,0.442
90,加檬,Sep-96,20.2,81,42,-1.445
90,加檬,Oct-96,14.5,74,77.7,-1.518
90,加檬,Nov-96,7.4,64,66,-1.233
90,加檬,Dec-96,3.8,61,20.1,-0.222
90,加檬,Jan-97,-0.4,60,59.9,0.216
90,加檬,Feb-97,2,59,34.4,-0.009
90,加檬,Mar-97,7,59,43.6,-0.065
90,加檬,Apr-97,12.7,61,45.4,-0.606
90,加檬,May-97,16.2,73,355.6,2.049
90,加檬,Jun-97,19.8,84,113,1.95
90,加檬,Jul-97,24.2,83,73.3,0.606
90,加檬,Aug-97,24.7,82,60.3,-1.858
90,加檬,Sep-97,18.4,80,322.4,-1.326
90,加檬,Oct-97,14.3,59,39.7,-0.809
90,加檬,Nov-97,9.5,67,153.9,0.826
90,加檬,Dec-97,3,51,101,0.665
90,加檬,Jan-98,-0.1,50,47.6,1.184
90,加檬,Feb-98,2.8,63,69,1.053
90,加檬,Mar-98,8.6,49,12.6,-0.201
90,加檬,Apr-98,13.4,76,101.2,0.257
90,加檬,May-98,17,72,67.2,-0.166
90,加檬,Jun-98,18.4,85,199,0.964
90,加檬,Jul-98,21.6,88,550.6,1.715
90,加檬,Aug-98,23.1,86,376.5,1.823
90,加檬,Sep-98,21.1,79,175,1.439
90,加檬,Oct-98,16.8,72,81.9,0.272
90,加檬,Nov-98,8.9,54,65.6,-0.294
90,加檬,Dec-98,4.6,50,51.5,0.047
90,加檬,Jan-99,1.8,41,1.1,-0.284
90,加檬,Feb-99,3,43,4.2,-0.955
90,加檬,Mar-99,5.6,63,55.8,-1.589
90,加檬,Apr-99,11.5,70,158.5,0.688
90,加檬,May-99,17,68,167.6,1.623
90,加檬,Jun-99,20.8,78,78.8,1.237
90,加檬,Jul-99,23.1,83,152.1,-0.128
90,加檬,Aug-99,23.3,83,515.2,0.445
90,加檬,Sep-99,21.5,78,431.4,1.428
90,加檬,Oct-99,14.9,64,76.6,1.808
90,加檬,Nov-99,9.3,54,78.3,1.171
90,加檬,Dec-99,3.1,41,2.4,-0.277
90,加檬,Jan-00,-0.4,56,90.2,0.238
90,加檬,Feb-00,-0.1,41,8.4,-0.199
90,加檬,Mar-00,6.9,45,8.7,-0.576
90,加檬,Apr-00,11.2,55,23.4,-2.565
90,加檬,May-00,14.3,79,71,-1.252
90,加檬,Jun-00,19.2,78,175.7,0.113
90,加檬,Jul-00,24.8,74,109.2,-0.776
90,加檬,Aug-00,24,83,440.3,0.163
90,加檬,Sep-00,18.6,79,347.2,0.705
90,加檬,Oct-00,14.5,65,7,1.2
90,加檬,Nov-00,7.8,53,58.3,0.514
90,加檬,Dec-00,3.2,43,5.8,-1.115
90,加檬,Jan-01,-2.3,47,37.6,-0.479
90,加檬,Feb-01,1.2,51,64.4,-0.094
90,加檬,Mar-01,5.6,48,20.8,-0.306
90,加檬,Apr-01,12.3,51,14.1,-1.039
90,加檬,May-01,17.2,61,7.2,-2.657
90,加檬,Jun-01,20,75,126.6,-1.204
90,加檬,Jul-01,23.4,77,233.3,-0.312
90,加檬,Aug-01,22.4,80,56.9,-1.127
90,加檬,Sep-01,20,71,311.5,-0.602
