일시,Predicted,Observed
1986-03-01,-0.3136200000000034,0.0
1986-04-01,-0.6365600000000017,-0.76
1986-05-01,-0.79201,-1.103
1986-06-01,-0.5953200000000004,-0.622
1986-07-01,-0.41189999999999743,-0.647
1986-08-01,0.43854000000000115,0.526
1986-09-01,0.5648799999999986,0.473
1986-10-01,1.201920000000005,1.11
1986-11-01,0.20884000000000483,-0.004
1986-12-01,0.25695000000000345,0.258
1987-01-01,-0.8529400000000001,-0.862
1987-02-01,0.20091000000000156,0.495
1987-03-01,0.3959000000000006,0.433
1987-04-01,0.466609999999996,0.555
1987-05-01,0.2677899999999972,0.126
1987-06-01,0.1449499999999957,0.135
1987-07-01,0.0071999999999962025,0.027
1987-08-01,0.3486499999999964,0.315
1987-09-01,-0.37488000000000055,-0.386
1987-10-01,-0.020400000000003606,-0.368
1987-11-01,-0.09499000000000267,-0.788
1987-12-01,0.17377000000000284,0.079
1988-01-01,-0.3519700000000012,-0.009
1988-02-01,-0.8846900000000006,-0.768
1988-03-01,-0.7999999999999997,-0.805
1988-04-01,-0.792630000000003,-0.923
1988-05-01,-1.0645800000000023,-1.244
1988-06-01,-1.1162900000000018,-1.298
1988-07-01,-0.31596000000000024,-0.552
1988-08-01,-0.7487599999999995,-1.414
1988-09-01,-0.521989999999999,-0.636
1988-10-01,-0.0749300000000039,-0.661
1988-11-01,0.40342999999999624,0.216
1988-12-01,-0.7559599999999996,-0.841
1989-01-01,0.47228000000000553,0.53
1989-02-01,0.9013900000000056,1.172
1989-03-01,1.3291199999999996,2.288
1989-04-01,0.29852000000000367,0.388
1989-05-01,0.07207000000000262,-0.011
1989-06-01,-0.7277100000000025,-0.753
1989-07-01,-0.1926499999999997,-0.132
1989-08-01,0.04850999999999749,-0.158
1989-09-01,-0.31882999999999817,-0.347
1989-10-01,0.11567999999999726,0.102
1989-11-01,0.4073900000000009,0.433
1989-12-01,0.963530000000003,1.165
1990-01-01,0.9965599999999996,1.217
1990-02-01,1.3684799999999941,2.052
1990-03-01,1.6403100000000037,2.173
1990-04-01,1.4575000000000036,2.192
1990-05-01,0.83217,0.883
1990-06-01,0.8325399999999968,1.457
1990-07-01,0.5319599999999983,0.775
1990-08-01,-0.18590999999999883,-0.153
1990-09-01,1.0708,0.965
1990-10-01,0.8759099999999995,0.975
1990-11-01,1.8377299999999976,2.205
1990-12-01,0.5053099999999966,0.494
1991-01-01,0.2477900000000023,0.428
1991-02-01,-0.7367800000000028,-0.602
1991-03-01,-0.9072699999999994,-0.868
1991-04-01,-0.7857000000000007,-0.828
1991-05-01,-0.5550999999999998,-0.386
1991-06-01,-1.2217999999999996,-1.473
1991-07-01,-0.31255999999999745,-0.458
1991-08-01,-0.7441699999999988,-1.141
1991-09-01,-0.5687900000000018,-0.966
1991-10-01,-0.8319799999999996,-1.525
1991-11-01,-0.9884199999999997,-1.373
1991-12-01,0.4018599999999995,0.451
1992-01-01,0.9545000000000035,1.326
1992-02-01,0.8807199999999987,1.773
1992-03-01,0.27083000000000246,0.856
1992-04-01,0.7554300000000024,0.779
1992-05-01,0.7073500000000019,1.461
1992-06-01,0.2937699999999985,0.448
1992-07-01,-0.24093000000000298,-0.367
1992-08-01,0.14855000000000504,-0.069
1992-09-01,0.5300899999999948,0.382
1992-10-01,0.7659000000000004,0.914
1992-11-01,-0.015090000000004739,0.287
1992-12-01,0.4025099999999985,0.235
1993-01-01,0.07670999999999667,0.336
1993-02-01,1.0183199999999972,1.186
1993-03-01,0.675830000000003,0.847
1993-04-01,0.6921899999999983,0.738
1993-05-01,0.4214600000000032,0.502
1993-06-01,0.7772600000000001,1.198
1993-07-01,0.5786199999999965,0.821
1993-08-01,0.7220299999999985,0.695
1993-09-01,-0.22937999999999711,-0.316
1993-10-01,-0.5109499999999996,-0.983
1993-11-01,-0.891889999999999,-1.337
1993-12-01,-0.23241000000000053,-0.444
1994-01-01,0.3651399999999965,0.429
1994-02-01,-0.020910000000002076,0.185
1994-03-01,-0.4094000000000036,-0.365
1994-04-01,-1.381390000000001,-1.608
1994-05-01,-0.7631100000000006,-0.912
1994-06-01,-0.6006200000000024,-0.676
1994-07-01,-0.6632899999999973,-1.106
1994-08-01,-0.8167100000000018,-1.254
1994-09-01,-0.9010500000000016,-1.73
1994-10-01,-0.17021999999999965,-0.104
1994-11-01,0.6910000000000044,0.536
1994-12-01,1.1826300000000036,1.4
1995-01-01,0.13387999999999678,0.231
1995-02-01,-0.8662700000000004,-0.661
1995-03-01,-0.03429000000000248,0.346
1995-04-01,0.25622999999999796,0.256
1995-05-01,-0.48145999999999667,-0.474
1995-06-01,-1.0839900000000007,-1.142
1995-07-01,-0.628620000000001,-0.732
1995-08-01,0.26669999999999644,0.358
1995-09-01,0.33254999999999685,0.129
1995-10-01,0.16704999999999603,0.071
1995-11-01,-0.9201199999999976,-1.397
1995-12-01,-1.806300000000001,-1.603
1996-01-01,-1.7712400000000004,-1.657
1996-02-01,0.14803999999999945,0.297
1996-03-01,0.6637900000000047,0.925
1996-04-01,0.5596599999999962,0.657
1996-05-01,-0.43484999999999835,-0.418
1996-06-01,0.7545600000000003,1.489
1996-07-01,0.6304599999999968,0.886
1996-08-01,0.3406999999999982,0.442
1996-09-01,-0.8297399999999997,-1.445
1996-10-01,-0.9745499999999996,-1.518
1996-11-01,-0.5667000000000001,-1.233
1996-12-01,-0.1741900000000015,-0.222
1997-01-01,0.10944999999999622,0.216
1997-02-01,-0.23246000000000203,-0.009
1997-03-01,-0.06714000000000221,-0.065
